sku,title,URL,price,upc,discount
#23012,Tin Sign - Give Thanks,https://wholesale.primitivesbykathy.com/tin-sign-give-thanks-23012,$1.00,883504230124,$1.12
#70208,Greeting Card - Skinny Woman,https://wholesale.primitivesbykathy.com/greeting-card-skinny-woman-70208,$1.25,883504702089,$1.12
#25519,Dish Towel - And A Whole Lot Of Jesus,https://wholesale.primitivesbykathy.com/dish-towel-and-a-whole-lot-of-jesus-25519,$4.00,883504255196,$3.60
#100465,Market Tote - Warmest Holiday Wishes,https://wholesale.primitivesbykathy.com/market-tote-warmest-holiday-wishes-100465,$4.00,190134004651,$3.60
#39441,Socks - Not Drinking Alone If Your Dog Is Home,https://wholesale.primitivesbykathy.com/socks-not-drinking-alone-if-your-dog-is-home-39441,$4.75,883504394413,$4.28
#100742,"Pick - 12"" Cotton",https://wholesale.primitivesbykathy.com/pick-12-cotton-100742,$4.00,190134007423,$3.60
#32678,Magnet - Texas,https://wholesale.primitivesbykathy.com/magnet-texas-32678,$1.00,883504326780,$0.90
#38047,Socks - If You Can Read This Bring More Beer,https://wholesale.primitivesbykathy.com/socks-if-you-can-read-this-bring-more-beer-38047,$4.75,883504380478,$4.28
#92696,Box Sign - Best Friend,https://wholesale.primitivesbykathy.com/box-sign-best-friend-92696,$2.00,883504926966,$3.60
#39435,Socks - Awesome Nurse,https://wholesale.primitivesbykathy.com/socks-awesome-nurse-39435,$4.75,883504394352,$4.28
#36611,Socks - Just Bee,https://wholesale.primitivesbykathy.com/socks-just-bee-36611,$4.75,883504366113,$4.28
#36430,Wine Tote - Dogs and Wine,https://wholesale.primitivesbykathy.com/wine-tote-dogs-and-wine-36430,$2.50,883504364300,$2.25
#25525,Dish Towel - As Scary,https://wholesale.primitivesbykathy.com/dish-towel-as-scary-25525,$4.75,883504255257,$3.60
#37002,Zipper Wallet - Beer Money,https://wholesale.primitivesbykathy.com/zipper-wallet-beer-money-37002,$2.00,883504370028,$1.80
#36266,Socks - Cats And Wine Everything Fine,https://wholesale.primitivesbykathy.com/socks-cats-and-wine-everything-fine-36266,$4.75,883504362665,$4.28
#36085,List Notepad - Christmas Wishes,https://wholesale.primitivesbykathy.com/list-notepad-christmas-wishes-36085,$1.75,883504360852,$1.57
#38513,Dish Towel - Want To Be A Stay At Home Dog Mom,https://wholesale.primitivesbykathy.com/dish-towel-want-to-be-a-stay-at-home-dog-mom-38513,$4.00,883504385138,$3.60
#39218,Socks - Never Walk Alone,https://wholesale.primitivesbykathy.com/socks-never-walk-alone-39218,$4.75,883504392181,$4.28
#92611,Box Sign - Elf Made Me Do It,https://wholesale.primitivesbykathy.com/box-sign-elf-made-me-do-it-92611,$4.75,883504926119,$3.15
#22675,Box Sign - Positive Thought,https://wholesale.primitivesbykathy.com/box-sign-positive-thought-22675,$8.00,883504226752,$7.20
#35533,Dish Towel - Christmas Movies,https://wholesale.primitivesbykathy.com/dish-towel-christmas-movies-35533,$4.00,883504355339,$3.60
#36260,Socks - Queen Of Damn Near Everything,https://wholesale.primitivesbykathy.com/socks-queen-of-damn-near-everything-36260,$4.75,883504362603,$4.28
#72943,Greeting Card - Dream Is To Eat And Not Get Fat,https://wholesale.primitivesbykathy.com/greeting-card-dream-is-to-eat-and-not-get-fat-72943,$1.25,883504729437,$1.12
#72944,Greeting Card - Vodka Superhero Costumes Bacon,https://wholesale.primitivesbykathy.com/greeting-card-vodka-superhero-costumes-bacon-72944,$1.25,883504729444,$1.12
#101357,Dish Towel - Pumpkin Spice Makes Me Nice,https://wholesale.primitivesbykathy.com/dish-towel-pumpkin-spice-makes-me-nice-101357,$4.00,190134013578,$3.60
#29122,Dish Towel - Dogs Welcome People Tolerated,https://wholesale.primitivesbykathy.com/dish-towel-dogs-welcome-people-tolerated-29122,$4.00,883504291224,$3.60
#36911,Dish Towel - If One Glass Of Wine Is Good For You,https://wholesale.primitivesbykathy.com/dish-towel-if-one-glass-of-wine-is-good-for-you-36911,$4.00,883504369114,$3.60
#33199,Dish Towel - Stay At Home Dog Mom,https://wholesale.primitivesbykathy.com/dish-towel-stay-at-home-dog-mom-33199,$4.00,883504331999,$3.60
#25163,Box Sign - Only The Best Moms Get Promoted To Mimi,https://wholesale.primitivesbykathy.com/box-sign-only-the-best-moms-get-promoted-to-mimi-25163,$5.00,883504251631,$4.50
#27218,Box Sign - Grandpas,https://wholesale.primitivesbykathy.com/box-sign-grandpas-27218,$4.00,883504272186,$3.60
#33209,Dish Towel - True Friends Don't Care If Your House,https://wholesale.primitivesbykathy.com/dish-towel-true-friends-dont-care-if-your-house-33209,$4.00,883504332095,$3.60
#9772,Lg. Primitive Betsy Ross Flag,https://wholesale.primitivesbykathy.com/lg-primitive-betsy-ross-flag-9772,$1.25,883504097727,$1.12
#38010,"Dish Towel - You Drink Too Much, A Friend",https://wholesale.primitivesbykathy.com/dish-towel-you-drink-too-much-a-friend-38010,$4.00,883504380102,$3.60
#22118,Bottle Tag - Good Times,https://wholesale.primitivesbykathy.com/bottle-tag-good-times-22118,$1.75,883504221184,$1.57
#100837,Ornament - Santa's Magic Key,https://wholesale.primitivesbykathy.com/ornament-santas-magic-key-100837,$2.00,190134008376,$1.80
#70391,Greeting Card - Don't Brag,https://wholesale.primitivesbykathy.com/greeting-card-dont-brag-70391,$1.25,883504703918,$1.12
#100463,Daily Tote - Warmest Holiday Wishes,https://wholesale.primitivesbykathy.com/daily-tote-warmest-holiday-wishes-100463,$2.50,190134004637,$2.25
#39475,Socks - As Long As We Have Wine Holidays Fine,https://wholesale.primitivesbykathy.com/socks-as-long-as-we-have-wine-holidays-fine-39475,$2.50,883504394758,$4.28
#70433,Greeting Card - Chest Pains,https://wholesale.primitivesbykathy.com/greeting-card-chest-pains-70433,$1.25,883504704335,$1.12
#38683,Bottle Sock - Not Drinking Alone If Dog Home,https://wholesale.primitivesbykathy.com/bottle-sock-not-drinking-alone-if-dog-home-38683,$2.75,883504386838,$2.48
#39406,Dish Towel - Rise And Shine Mother Cluckers,https://wholesale.primitivesbykathy.com/dish-towel-rise-and-shine-mother-cluckers-39406,$4.00,883504394062,$3.60
#39797,Dish Towel - Sm Buffalo Check,https://wholesale.primitivesbykathy.com/dish-towel-sm-buffalo-check-39797,$4.00,883504397971,$3.60
#38685,Bottle Sock - Cheaper Than Therapy,https://wholesale.primitivesbykathy.com/bottle-sock-cheaper-than-therapy-38685,$2.75,883504386852,$2.48
#36270,Socks - I Teach What's Your Super Power,https://wholesale.primitivesbykathy.com/socks-i-teach-whats-your-super-power-36270,$4.75,883504362702,$4.28
#27603,Ornament - Carve Pumpkins,https://wholesale.primitivesbykathy.com/ornament-carve-pumpkins-27603,$4.75,883504276030,$1.80
#36073,Ornament - Tree Truck,https://wholesale.primitivesbykathy.com/ornament-tree-truck-36073,$2.25,883504360739,$2.02
#70316,Greeting Card - In Life,https://wholesale.primitivesbykathy.com/greeting-card-in-life-70316,$1.25,883504703161,$1.12
#33282,Box Sign - Motivational,https://wholesale.primitivesbykathy.com/box-sign-motivational-33282,$4.00,883504332828,$3.60
#33202,Dish Towel - Neighbors By Chance Friends By Choice,https://wholesale.primitivesbykathy.com/dish-towel-neighbors-by-chance-friends-by-choice-33202,$4.00,883504332026,$3.60
#31764,Dish Towel - Nana Is The Name Spoiling,https://wholesale.primitivesbykathy.com/dish-towel-nana-is-the-name-spoiling-31764,$4.00,883504317641,$3.60
#70444,Greeting Card - That Age,https://wholesale.primitivesbykathy.com/greeting-card-that-age-70444,$1.25,883504704441,$1.12
#27421,"Fabric - Cream, 12 Blue Stripe",https://wholesale.primitivesbykathy.com/fabric-cream-12-blue-stripe-27421,$8.00,883504274210,
#70271,Greeting Card - Go Braless,https://wholesale.primitivesbykathy.com/greeting-card-go-braless-70271,$1.25,883504702713,$1.12
#70462,Greeting Card - God made us,https://wholesale.primitivesbykathy.com/greeting-card-god-made-us-70462,$1.25,883504704625,$1.12
#70427,Greeting Card - A Stripper,https://wholesale.primitivesbykathy.com/greeting-card-a-stripper-70427,$1.25,883504704274,$1.12
#21740,Dish Towel - Rescued Wine,https://wholesale.primitivesbykathy.com/dish-towel-rescued-wine-21740,$4.00,883504217408,$3.60
#35521,Dish Towel - Better Camping,https://wholesale.primitivesbykathy.com/dish-towel-better-camping-35521,$4.00,883504355216,$3.60
#18999,Box Sign - Hand Over My Mouth,https://wholesale.primitivesbykathy.com/box-sign-hand-over-my-mouth-18999,$4.00,883504189996,$3.60
#23238,Box Sign - I Love You,https://wholesale.primitivesbykathy.com/box-sign-i-love-you-23238,$3.50,883504232388,$3.15
#70457,Greeting Card - Growing Old,https://wholesale.primitivesbykathy.com/greeting-card-growing-old-70457,$1.25,883504704571,$1.12
#27181,Bottle Tag - Wine Bottles,https://wholesale.primitivesbykathy.com/bottle-tag-wine-bottles-27181,$1.75,883504271813,$1.57
#26932,Dish Towel - We Drink Wine In Our Yoga Pants,https://wholesale.primitivesbykathy.com/dish-towel-we-drink-wine-in-our-yoga-pants-26932,$4.00,883504269322,$3.60
#39796,Dish Towel - Buffalo Check,https://wholesale.primitivesbykathy.com/dish-towel-buffalo-check-39796,$4.00,883504397964,$3.60
#26804,Hanging Decor - No Soliciting,https://wholesale.primitivesbykathy.com/hanging-decor-no-soliciting-26804,$3.25,883504268042,$2.92
#33936,Dish Towel - Cocktail Party,https://wholesale.primitivesbykathy.com/dish-towel-cocktail-party-33936,$5.50,883504339360,$3.60
#91342,Bottle Tag - Drink Up Witches,https://wholesale.primitivesbykathy.com/bottle-tag-drink-up-witches-91342,$1.25,883504913423,$1.57
#25544,Dish Towel - Please Eat A Biscuit,https://wholesale.primitivesbykathy.com/dish-towel-please-eat-a-biscuit-25544,$1.25,883504255448,$3.60
#33402,Sign - First Day of School,https://wholesale.primitivesbykathy.com/sign-first-day-of-school-33402,$5.50,883504334020,$4.95
#70440,Greeting Card - Ghost Friends,https://wholesale.primitivesbykathy.com/greeting-card-ghost-friends-70440,$1.25,883504704403,$1.12
#30353,Dish Towel - Love You A Bushel And A Peck,https://wholesale.primitivesbykathy.com/dish-towel-love-you-a-bushel-and-a-peck-30353,$4.00,883504303538,$3.60
#70381,Greeting Card - Dangerous,https://wholesale.primitivesbykathy.com/greeting-card-dangerous-70381,$1.25,883504703819,$1.12
#38689,Bottle Sock - Wine Because Adulting Is Hard,https://wholesale.primitivesbykathy.com/bottle-sock-wine-because-adulting-is-hard-38689,$2.75,883504386890,$2.48
#25886,Dish Towel - Eat a Cookie,https://wholesale.primitivesbykathy.com/dish-towel-eat-a-cookie-25886,$4.00,883504258869,$3.60
#92732,Box Sign - Have Wine The Holidays Will Be Fine,https://wholesale.primitivesbykathy.com/box-sign-have-wine-the-holidays-will-be-fine-92732,$4.00,883504927321,$3.60
#22343,Box Sign - What It Is,https://wholesale.primitivesbykathy.com/box-sign-what-it-is-22343,$6.00,883504223430,$5.40
#33841,Dish Towel - Friends Are Like Stars,https://wholesale.primitivesbykathy.com/dish-towel-friends-are-like-stars-33841,$4.00,883504338417,$3.60
#33723,Box Sign - Beware Of Wigglebutts,https://wholesale.primitivesbykathy.com/box-sign-beware-of-wigglebutts-33723,$4.00,883504337236,$3.60
#35169,Box Sign - I Love You,https://wholesale.primitivesbykathy.com/box-sign-i-love-you-35169,$4.00,883504351690,$3.60
#38691,Bottle Sock -Toast The Host With The Most,https://wholesale.primitivesbykathy.com/bottle-sock-toast-the-host-with-the-most-38691,$2.75,883504386913,$2.48
#30356,Dish Towel - In This House We Dance In The Kitchen,https://wholesale.primitivesbykathy.com/dish-towel-in-this-house-we-dance-in-the-kitchen-30356,$4.00,883504303569,$3.60
#23007,Tin Sign - Harvest Bless,https://wholesale.primitivesbykathy.com/tin-sign-harvest-bless-23007,$4.00,883504230070,$1.12
#70400,Greeting Card - Giggles,https://wholesale.primitivesbykathy.com/greeting-card-giggles-70400,$1.25,883504704007,$1.12
#36252,Socks - This Wine Is Making Me Awesome,https://wholesale.primitivesbykathy.com/socks-this-wine-is-making-me-awesome-36252,$4.75,883504362528,$4.28
#36095,Dish Towel - Christmas Truck,https://wholesale.primitivesbykathy.com/dish-towel-christmas-truck-36095,$4.00,883504360951,$3.60
#34679,Socks - Follow That Unicorn,https://wholesale.primitivesbykathy.com/socks-follow-that-unicorn-34679,$4.75,883504346795,$4.28
#31068,Box Sign - The Mom,https://wholesale.primitivesbykathy.com/box-sign-the-mom-31068,$4.00,883504310680,$3.60
#34078,Pillow - Love You To The Moon & Back,https://wholesale.primitivesbykathy.com/pillow-love-you-to-the-moon-back-34078,$10.00,883504340786,$11.25
#101724,Chunky Sitter - Bunny,https://wholesale.primitivesbykathy.com/chunky-sitter-bunny-101724,$8.75,190134017248,$7.88
#102358,Floral - Faux Fern,https://wholesale.primitivesbykathy.com/floral-faux-fern-102358,$6.00,190134023584,$5.40
#102811,Inset Box Sign - Let All You Do Be Done In Love,https://wholesale.primitivesbykathy.com/inset-box-sign-let-all-you-do-be-done-in-love-102811,$6.50,190134028114,$5.85
#102671,Box Sign - Do What Makes Your Soul Shine,https://wholesale.primitivesbykathy.com/box-sign-do-what-makes-your-soul-shine-102671,$10.00,190134026714,$9.00
#102342,Floral - Purple Lilac,https://wholesale.primitivesbykathy.com/floral-purple-lilac-102342,$7.00,190134023423,$6.30
#39940,Dish Towel - You're The Mom Everyone Wishes,https://wholesale.primitivesbykathy.com/dish-towel-youre-the-mom-everyone-wishes-39940,$4.50,883504399401,$4.05
#101708,Plaque Frame - And Then There Was You,https://wholesale.primitivesbykathy.com/plaque-frame-and-then-there-was-you-101708,$7.50,190134017088,$6.75
#102246,Tray - Nurture Your Soul,https://wholesale.primitivesbykathy.com/tray-nurture-your-soul-102246,$9.50,190134022464,$8.55
#133241,Chunky Sitter - It's Good To Be Queen,https://wholesale.primitivesbykathy.com/chunky-sitter-its-good-to-be-queen-133241,$3.50,190134332419,$3.15
#102652,Seagrass Round Container,https://wholesale.primitivesbykathy.com/seagrass-round-container-102652,$3.50,190134026523,$3.15
#102230,Dish Towel - Appreciate The Little Things,https://wholesale.primitivesbykathy.com/dish-towel-appreciate-the-little-things-102230,$5.50,190134022303,$4.95
#103472,Box Sign - Dad Amazing Loving Strong Happy,https://wholesale.primitivesbykathy.com/box-sign-dad-amazing-loving-strong-happy-103472,$6.00,190134034726,$5.40
#102619,Wine Glass - Love The Wine You're With,https://wholesale.primitivesbykathy.com/wine-glass-love-the-wine-youre-with-102619,$8.50,190134026196,$7.65
#33482,Mini Pillow - 5:00 am,https://wholesale.primitivesbykathy.com/mini-pillow-500-am-33482,$6.00,883504334822,$4.28
#33161,String Art - Love Heart,https://wholesale.primitivesbykathy.com/string-art-love-heart-33161,$11.50,883504331616,$23.85
#32598,Fancy Metal Letter B,https://wholesale.primitivesbykathy.com/fancy-metal-letter-b-32598,$11.50,883504325981,$11.25
#pinpatch30,Kathy's Pick Pin & Patch Kit,https://wholesale.primitivesbykathy.com/kathys-pick-pin-patch-kit-pinpatch30,$562.00,No,
#36840,Lighted Tinsel Garland,https://wholesale.primitivesbykathy.com/lighted-tinsel-garland-36840,$12.50,883504368407,
#37528,Hanging Decor - Happiness First Sign Of Spring,https://wholesale.primitivesbykathy.com/hanging-decor-happiness-first-sign-of-spring-37528,$7.50,883504375283,$5.40
#37332,StandUp - Snowman,https://wholesale.primitivesbykathy.com/standup-snowman-37332,$11.50,883504373326,$10.35
#33617,Box Sign - Zodiac Lady,https://wholesale.primitivesbykathy.com/box-sign-zodiac-lady-33617,$7.50,883504336178,$8.10
#37202,Slat Box Sign - Be Crazy Enough To Know,https://wholesale.primitivesbykathy.com/slat-box-sign-be-crazy-enough-to-know-37202,$13.50,883504372022,$12.15
#37876,Pocket Placemat - Blush,https://wholesale.primitivesbykathy.com/pocket-placemat-blush-37876,$12.50,883504378765,$4.05
#36135,Tinsel Tree,https://wholesale.primitivesbykathy.com/tinsel-tree-36135,$7.50,883504361354,$6.75
#36979,String Art - Never Stop Making Wishes,https://wholesale.primitivesbykathy.com/string-art-never-stop-making-wishes-36979,$12.50,883504369794,$29.25
#100179,Hinged Box - Best Moms Get Promoted To Grandma,https://wholesale.primitivesbykathy.com/hinged-box-best-moms-get-promoted-to-grandma-100179,$5.50,190134001797,$4.95
#33075,Color Sign - Sustenance,https://wholesale.primitivesbykathy.com/color-sign-sustenance-33075,$16.50,883504330756,$9.00
#32346,Metal Nativity - Holy Family GOLD,https://wholesale.primitivesbykathy.com/metal-nativity-holy-family-gold-32346,$12.50,883504323468,$11.25
#33090,Color Sign - Sugar Skull 2,https://wholesale.primitivesbykathy.com/color-sign-sugar-skull-2-33090,$16.50,883504330909,$8.55
#33093,Wooden Postcard - Flow,https://wholesale.primitivesbykathy.com/wooden-postcard-flow-33093,$16.50,883504330930,$1.57
#26350,Sign - Flowers Feed,https://wholesale.primitivesbykathy.com/sign-flowers-feed-26350,$18.50,883504263504,$13.05
#37052,Shelf - Cactus Shape,https://wholesale.primitivesbykathy.com/shelf-cactus-shape-37052,$49.50,883504370523,$44.55
#38245,Slat Box Sign - Sun Sand & A Drink In My Hand,https://wholesale.primitivesbykathy.com/slat-box-sign-sun-sand-a-drink-in-my-hand-38245,$16.50,883504382458,$14.85
#93256,Inset Slat Box Sign - Love Dwells Here,https://wholesale.primitivesbykathy.com/inset-slat-box-sign-love-dwells-here-93256,$34.50,883504932561,$31.05
#20945,Countdown - TGIF,https://wholesale.primitivesbykathy.com/countdown-tgif-20945,$15.00,883504209458,$3.15
#37379,Pillow - Big Snowflake,https://wholesale.primitivesbykathy.com/pillow-big-snowflake-37379,$24.50,883504373791,$22.05
#37584,Box Sign - Let's Stay Home,https://wholesale.primitivesbykathy.com/box-sign-lets-stay-home-37584,$15.00,883504375849,$13.50
#31874,LED Box Sign - Merry & Bright,https://wholesale.primitivesbykathy.com/led-box-sign-merry-bright-31874,$18.50,883504318747,$16.65
#37336,Glass Ornament - Santa With Wreath,https://wholesale.primitivesbykathy.com/glass-ornament-santa-with-wreath-37336,$7.00,883504373364,$6.30
#25345,Ornament- Groom,https://wholesale.primitivesbykathy.com/ornament-groom-25345,$49.50,883504253451,$1.80
#39540,Hook Board - Golden Retriever,https://wholesale.primitivesbykathy.com/hook-board-golden-retriever-39540,$4.75,883504395403,$6.30
#101053,Tree Skirt - Believe,https://wholesale.primitivesbykathy.com/tree-skirt-believe-101053,$49.50,190134010539,$44.55
#34804,Church Puzzle - Retro Easter,https://wholesale.primitivesbykathy.com/church-puzzle-retro-easter-34804,$4.75,883504348041,$4.28
#37067,Stitched Standup - Butterfly,https://wholesale.primitivesbykathy.com/stitched-standup-butterfly-37067,$22.00,883504370677,$3.60
#101436,Trinket Box - Boho Stripes,https://wholesale.primitivesbykathy.com/trinket-box-boho-stripes-101436,$3.00,190134014360,$9.00
#37800,Ornament - Happy St. Patrick's Day,https://wholesale.primitivesbykathy.com/ornament-happy-st-patricks-day-37800,$2.00,883504378000,$1.80
#38584,Slat Box Sign - Farm Fresh,https://wholesale.primitivesbykathy.com/slat-box-sign-farm-fresh-38584,$22.00,883504385848,$19.80
#101155,Mini Frame - Memories We Make Together,https://wholesale.primitivesbykathy.com/mini-frame-memories-we-make-together-101155,$3.00,190134011550,$2.70
#37877,Pocket Placemat - Blue,https://wholesale.primitivesbykathy.com/pocket-placemat-blue-37877,$10.50,883504378772,$4.05
#66800,Letter - D,https://wholesale.primitivesbykathy.com/letter-d-66800,$3.50,883504668002,$3.60
#37022,Pillow Case - I Love My Bed,https://wholesale.primitivesbykathy.com/pillow-case-i-love-my-bed-37022,$6.50,883504370226,$5.85
#101283,Photo Block - Fr-amily,https://wholesale.primitivesbykathy.com/photo-block-fr-amily-101283,$10.50,190134012830,$9.45
#39512,Wall Decor - Here Comes The Bride,https://wholesale.primitivesbykathy.com/wall-decor-here-comes-the-bride-39512,$6.00,883504395120,$4.05
#100206,Mini Easel - Go Out And Change The World,https://wholesale.primitivesbykathy.com/mini-easel-go-out-and-change-the-world-100206,$3.50,190134002060,$3.15
#39543,Hook Board - Yellow Lab,https://wholesale.primitivesbykathy.com/hook-board-yellow-lab-39543,$6.00,883504395434,$6.30
#38474,Dish Towel - Blue,https://wholesale.primitivesbykathy.com/dish-towel-blue-38474,$6.00,883504384742,$5.40
#29764,Ornament - Show Bunny,https://wholesale.primitivesbykathy.com/ornament-show-bunny-29764,$9.50,883504297646,$1.35
#34646,Chalk Sign - You Make My Heart Happy,https://wholesale.primitivesbykathy.com/chalk-sign-you-make-my-heart-happy-34646,$6.00,883504346467,$5.40
#31963,Small Elephant - Kantha,https://wholesale.primitivesbykathy.com/small-elephant-kantha-31963,$9.50,883504319638,$8.55
#32171,Wooden Postcard - Creation,https://wholesale.primitivesbykathy.com/wooden-postcard-creation-32171,$28.50,883504321716,$1.57
#34331,Box Sign - Horse,https://wholesale.primitivesbykathy.com/box-sign-horse-34331,$28.50,883504343312,$15.30
#101401,Ornament - Boho Star,https://wholesale.primitivesbykathy.com/ornament-boho-star-101401,$9.00,190134014018,$8.10
#39674,Sign - O Holy Night,https://wholesale.primitivesbykathy.com/sign-o-holy-night-39674,$12.00,883504396745,$10.80
