URL,sku,price,upc,title
https://wholesale.primitivesbykathy.com/floral-fern-in-jar-102359,#102359,$7.00,190134023591,Floral - Fern In Jar
https://wholesale.primitivesbykathy.com/floral-white-lilac-102343,#102343,$7.00,190134023430,Floral - White Lilac
https://wholesale.primitivesbykathy.com/block-sign-be-kind-102672,#102672,$5.00,190134026721,Block Sign - Be Kind
https://wholesale.primitivesbykathy.com/dish-towel-i-love-that-youre-my-dad-39945,#39945,$4.00,883504399456,Dish Towel - I Love That You're My Dad
https://wholesale.primitivesbykathy.com/block-sign-lucky-blessed-102240,#102240,$4.50,190134022402,Block Sign - Lucky & Blessed
https://wholesale.primitivesbykathy.com/oval-planter-multi-succulent-102630,#102630,$10.00,190134026301,Oval Planter - Multi Succulent
https://wholesale.primitivesbykathy.com/box-sign-if-i-ever-go-missing-follow-my-kids-103466,#103466,$5.00,190134034665,Box Sign - If I Ever Go Missing Follow My Kids
https://wholesale.primitivesbykathy.com/planter-cracked-egg-shape-103800,#103800,$5.00,190134038007,Planter - Cracked Egg Shape
https://wholesale.primitivesbykathy.com/list-notepad-with-you-102028,#102028,$1.75,190134020286,List Notepad - With You
https://wholesale.primitivesbykathy.com/floral-fern-in-pot-102613,#102613,$9.50,190134026134,Floral - Fern In Pot
https://wholesale.primitivesbykathy.com/floral-mini-tulip-cream-102354,#102354,$6.75,190134023546,Floral - Mini Tulip - Cream
https://wholesale.primitivesbykathy.com/mug-enjoy-the-moments-102807,#102807,$6.50,190134028077,Mug - Enjoy The Moments
https://wholesale.primitivesbykathy.com/photo-block-youre-the-bees-knees-133247,#133247,$4.00,190134332471,Photo Block - You're The Bees Knees
https://wholesale.primitivesbykathy.com/dish-towel-floral-heart-love-you-more-102023,#102023,$7.50,190134020231,Dish Towel - Floral Heart - Love You More
https://wholesale.primitivesbykathy.com/chunky-sitter-so-blessed-102586,#102586,$4.00,190134025861,Chunky Sitter - So Blessed
https://wholesale.primitivesbykathy.com/planter-purple-glazed-102624,#102624,$9.00,190134026240,Planter - Purple Glazed
https://wholesale.primitivesbykathy.com/pitcher-lady-bug-nurture-your-soul-102235,#102235,$8.50,190134022358,Pitcher - Lady Bug - Nurture Your Soul
https://wholesale.primitivesbykathy.com/figurine-bunny-103786,#103786,$6.00,190134037864,Figurine - Bunny
https://wholesale.primitivesbykathy.com/box-sign-make-your-dad-proud-103461,#103461,$5.00,190134034610,Box Sign - Make Your Dad Proud
https://wholesale.primitivesbykathy.com/list-notepad-love-notes-101914,#101914,$1.75,190134019143,List Notepad - Love Notes
https://wholesale.primitivesbykathy.com/runner-live-simply-102570,#102570,$18.50,190134025700,Runner - Live Simply
https://wholesale.primitivesbykathy.com/trinket-tray-glasses-keys-35109,#35109,,883504351096,Trinket Tray - Glasses & Keys
https://wholesale.primitivesbykathy.com/planter-round-face-102445,#102445,$9.00,190134024451,Planter - Round Face
